,geocentricTime,RA,DEC
2718,2436000.5,283.98641,-23.59747
2719,2436001.5,283.96589,-23.59996
2720,2436002.5,283.9452,-23.60246
2721,2436003.5,283.92434,-23.60497
2722,2436004.5,283.90332,-23.60748
2723,2436005.5,283.88215,-23.61
2724,2436006.5,283.86084,-23.61252
2725,2436007.5,283.83939,-23.61505
2726,2436008.5,283.81781,-23.61757
2727,2436009.5,283.79611,-23.62011
2728,2436010.5,283.77429,-23.62264
2729,2436011.5,283.75236,-23.62518
2730,2436012.5,283.73034,-23.62771
2731,2436013.5,283.70822,-23.63025
2732,2436014.5,283.68602,-23.63278
2733,2436015.5,283.66374,-23.63531
2734,2436016.5,283.6414,-23.63784
2735,2436017.5,283.619,-23.64036
2736,2436018.5,283.59654,-23.64288
2737,2436019.5,283.57405,-23.64539
2738,2436020.5,283.55152,-23.6479
2739,2436021.5,283.52897,-23.6504
2740,2436022.5,283.5064,-23.65289
2741,2436023.5,283.48383,-23.65538
2742,2436024.5,283.46126,-23.65785
2743,2436025.5,283.43869,-23.66032
2744,2436026.5,283.41614,-23.66277
2745,2436027.5,283.39362,-23.66521
2746,2436028.5,283.37113,-23.66764
2747,2436029.5,283.34867,-23.67006
2748,2436030.5,283.32627,-23.67247
2749,2436031.5,283.30392,-23.67486
2750,2436032.5,283.28163,-23.67724
2751,2436033.5,283.2594,-23.6796
2752,2436034.5,283.23726,-23.68195
2753,2436035.5,283.2152,-23.68428
2754,2436036.5,283.19323,-23.6866
2755,2436037.5,283.17136,-23.6889
2756,2436038.5,283.1496,-23.69118
2757,2436039.5,283.12795,-23.69344
2758,2436040.5,283.10642,-23.69569
2759,2436041.5,283.08503,-23.69791
2760,2436042.5,283.06377,-23.70012
2761,2436043.5,283.04266,-23.7023
2762,2436044.5,283.0217,-23.70447
2763,2436045.5,283.0009,-23.70661
2764,2436046.5,282.98028,-23.70873
2765,2436047.5,282.95983,-23.71082
2766,2436048.5,282.93957,-23.7129
2767,2436049.5,282.9195,-23.71494
2768,2436050.5,282.89964,-23.71697
2769,2436051.5,282.87998,-23.71896
2770,2436052.5,282.86054,-23.72094
2771,2436053.5,282.84133,-23.72288
2772,2436054.5,282.82234,-23.7248
2773,2436055.5,282.80359,-23.7267
2774,2436056.5,282.78508,-23.72856
2775,2436057.5,282.76683,-23.7304
2776,2436058.5,282.74882,-23.73221
2777,2436059.5,282.73108,-23.734
2778,2436060.5,282.71361,-23.73575
2779,2436061.5,282.6964,-23.73748
2780,2436062.5,282.67948,-23.73917
2781,2436063.5,282.66284,-23.74084
2782,2436064.5,282.64649,-23.74248
2783,2436065.5,282.63044,-23.74409
2784,2436066.5,282.61469,-23.74567
2785,2436067.5,282.59925,-23.74722
2786,2436068.5,282.58412,-23.74873
2787,2436069.5,282.56932,-23.75022
2788,2436070.5,282.55484,-23.75167
2789,2436071.5,282.54069,-23.75309
2790,2436072.5,282.52687,-23.75448
2791,2436073.5,282.51341,-23.75584
2792,2436074.5,282.50029,-23.75716
2793,2436075.5,282.48752,-23.75845
2794,2436076.5,282.47512,-23.75971
2795,2436077.5,282.46308,-23.76093
2796,2436078.5,282.45141,-23.76212
2797,2436079.5,282.44012,-23.76327
2798,2436080.5,282.42921,-23.76439
2799,2436081.5,282.41868,-23.76547
2800,2436082.5,282.40854,-23.76652
2801,2436083.5,282.39879,-23.76754
2802,2436084.5,282.38944,-23.76852
2803,2436085.5,282.38048,-23.76947
2804,2436086.5,282.37192,-23.77038
2805,2436087.5,282.36377,-23.77125
2806,2436088.5,282.35603,-23.77209
2807,2436089.5,282.34869,-23.7729
2808,2436090.5,282.34177,-23.77367
2809,2436091.5,282.33527,-23.77441
2810,2436092.5,282.32918,-23.77511
2811,2436093.5,282.32352,-23.77577
2812,2436094.5,282.31828,-23.7764
2813,2436095.5,282.31346,-23.777
2814,2436096.5,282.30908,-23.77755
2815,2436097.5,282.30513,-23.77808
2816,2436098.5,282.30161,-23.77856
2817,2436099.5,282.29853,-23.77901
2818,2436100.5,282.29589,-23.77943
2819,2436101.5,282.2937,-23.7798
2820,2436102.5,282.29195,-23.78014
2821,2436103.5,282.29064,-23.78045
2822,2436104.5,282.28978,-23.78071
2823,2436105.5,282.28938,-23.78095
2824,2436106.5,282.28942,-23.78114
2825,2436107.5,282.28992,-23.7813
2826,2436108.5,282.29087,-23.78142
2827,2436109.5,282.29228,-23.78151
2828,2436110.5,282.29414,-23.78155
2829,2436111.5,282.29645,-23.78157
2830,2436112.5,282.29922,-23.78155
2831,2436113.5,282.30244,-23.78149
2832,2436114.5,282.30611,-23.7814
2833,2436115.5,282.31023,-23.78127
2834,2436116.5,282.31481,-23.7811
2835,2436117.5,282.31984,-23.7809
2836,2436118.5,282.32532,-23.78067
2837,2436119.5,282.33124,-23.7804
2838,2436120.5,282.33762,-23.7801
2839,2436121.5,282.34444,-23.77976
2840,2436122.5,282.35171,-23.77939
2841,2436123.5,282.35943,-23.77898
2842,2436124.5,282.36759,-23.77853
2843,2436125.5,282.37619,-23.77806
2844,2436126.5,282.38524,-23.77755
2845,2436127.5,282.39473,-23.777
2846,2436128.5,282.40466,-23.77642
2847,2436129.5,282.41502,-23.7758
2848,2436130.5,282.42583,-23.77515
2849,2436131.5,282.43707,-23.77447
2850,2436132.5,282.44875,-23.77375
2851,2436133.5,282.46086,-23.773
2852,2436134.5,282.4734,-23.77222
2853,2436135.5,282.48636,-23.7714
2854,2436136.5,282.49975,-23.77055
2855,2436137.5,282.51357,-23.76967
2856,2436138.5,282.52779,-23.76876
2857,2436139.5,282.54243,-23.76781
2858,2436140.5,282.55749,-23.76683
2859,2436141.5,282.57294,-23.76582
2860,2436142.5,282.5888,-23.76479
2861,2436143.5,282.60506,-23.76372
2862,2436144.5,282.62171,-23.76261
2863,2436145.5,282.63875,-23.76148
2864,2436146.5,282.65617,-23.76032
2865,2436147.5,282.67398,-23.75913
2866,2436148.5,282.69217,-23.75791
2867,2436149.5,282.71072,-23.75667
2868,2436150.5,282.72965,-23.75539
2869,2436151.5,282.74894,-23.75408
2870,2436152.5,282.76859,-23.75275
2871,2436153.5,282.7886,-23.75139
2872,2436154.5,282.80896,-23.75
2873,2436155.5,282.82967,-23.74858
2874,2436156.5,282.85072,-23.74713
2875,2436157.5,282.87211,-23.74566
2876,2436158.5,282.89384,-23.74416
2877,2436159.5,282.91589,-23.74264
2878,2436160.5,282.93827,-23.74109
2879,2436161.5,282.96097,-23.73951
2880,2436162.5,282.98398,-23.73791
2881,2436163.5,283.0073,-23.73629
2882,2436164.5,283.03092,-23.73464
2883,2436165.5,283.05484,-23.73296
2884,2436166.5,283.07905,-23.73127
2885,2436167.5,283.10354,-23.72955
2886,2436168.5,283.12831,-23.7278
2887,2436169.5,283.15335,-23.72604
2888,2436170.5,283.17865,-23.72426
2889,2436171.5,283.20421,-23.72245
2890,2436172.5,283.23002,-23.72063
2891,2436173.5,283.25607,-23.71879
2892,2436174.5,283.28236,-23.71692
2893,2436175.5,283.30888,-23.71504
2894,2436176.5,283.33562,-23.71314
2895,2436177.5,283.36258,-23.71122
2896,2436178.5,283.38975,-23.70929
2897,2436179.5,283.41713,-23.70733
2898,2436180.5,283.4447,-23.70536
2899,2436181.5,283.47247,-23.70338
2900,2436182.5,283.50042,-23.70138
2901,2436183.5,283.52856,-23.69936
2902,2436184.5,283.55686,-23.69733
2903,2436185.5,283.58533,-23.69529
2904,2436186.5,283.61396,-23.69323
2905,2436187.5,283.64275,-23.69116
2906,2436188.5,283.67168,-23.68907
2907,2436189.5,283.70075,-23.68698
2908,2436190.5,283.72995,-23.68487
2909,2436191.5,283.75927,-23.68275
2910,2436192.5,283.78871,-23.68063
2911,2436193.5,283.81827,-23.67849
2912,2436194.5,283.84792,-23.67634
2913,2436195.5,283.87766,-23.67419
2914,2436196.5,283.90749,-23.67203
2915,2436197.5,283.93739,-23.66987
2916,2436198.5,283.96737,-23.6677
2917,2436199.5,283.9974,-23.66552
2918,2436200.5,284.02749,-23.66334
2919,2436201.5,284.05763,-23.66116
2920,2436202.5,284.0878,-23.65897
2921,2436203.5,284.118,-23.65678
2922,2436204.5,284.14823,-23.65459
2923,2436205.5,284.17847,-23.6524
2924,2436206.5,284.20873,-23.65021
2925,2436207.5,284.23898,-23.64801
2926,2436208.5,284.26922,-23.64582
2927,2436209.5,284.29946,-23.64363
2928,2436210.5,284.32967,-23.64144
2929,2436211.5,284.35986,-23.63926
2930,2436212.5,284.39002,-23.63707
2931,2436213.5,284.42013,-23.63489
2932,2436214.5,284.4502,-23.63272
2933,2436215.5,284.48021,-23.63055
2934,2436216.5,284.51016,-23.62839
2935,2436217.5,284.54004,-23.62623
2936,2436218.5,284.56984,-23.62408
2937,2436219.5,284.59956,-23.62194
2938,2436220.5,284.62918,-23.61981
