,kboTIME,x,y,z
13115,2461007.3260815507,16.41952722495592,25.07034991014948,-2.944863700888559
13116,2461008.3260628036,16.43287256400151,25.06554612201515,-2.944509826694042
13117,2461009.326042304,16.44633657940077,25.06102166693208,-2.944155942605978
13118,2461010.3260200582,16.45991425217703,25.05677833144719,-2.943802085197603
13119,2461011.3259960753,16.4736006241196,25.05281777353446,-2.943448291858729
13120,2461012.3259703633,16.48739082002048,25.04914155191631,-2.943094597678509
13121,2461013.3259429308,16.50128005822398,25.04575116789982,-2.942741031568526
13122,2461014.3259137864,16.51526364123524,25.04264811327931,-2.942387612385235
13123,2461015.3258829373,16.52933692322148,25.03983391208943,-2.942034346171182
13124,2461016.325850392,16.54349526030663,25.03731014322299,-2.941681225469045
13125,2461017.325816158,16.55773395716268,25.03507843736552,-2.94132823092237
13126,2461018.3257802436,16.57204822409179,25.03314045176057,-2.94097533450408
13127,2461019.325742657,16.58643315252497,25.03149783339641,-2.940622503271419
13128,2461020.325703407,16.60088370868436,25.03015218181721,-2.940269702700972
13129,2461021.325662504,16.61539473994588,25.02910501867386,-2.939916899136513
13130,2461022.3256199583,16.62996098740712,25.02835776618944,-2.939564061328028
13131,2461023.325575782,16.64457709974882,25.02791173338693,-2.939211161282866
13132,2461024.325529988,16.65923764572899,25.02776810759973,-2.938858174705597
13133,2461025.3254825883,16.67393712447652,25.02792794879467,-2.938505081256036
13134,2461026.325433599,16.68866997388615,25.02839218484278,-2.938151864774647
13135,2461027.3253830336,16.70343057797177,25.02916160662019,-2.937798513546692
13136,2461028.325330909,16.71821327419022,25.03023686251115,-2.937445020613949
13137,2461029.3252772414,16.7330123616386,25.03161845244161,-2.937091384098413
13138,2461030.3252220494,16.74782211074467,25.03330672195679,-2.93673760747723
13139,2461031.3251653505,16.76263677470081,25.03530185703818,-2.936383699742707
13140,2461032.325107165,16.77745060254076,25.03760388032805,-2.936029675393163
13141,2461033.3250475125,16.79225785353816,25.04021264924751,-2.935675554221951
13142,2461034.324986414,16.80705281258345,25.04312785627589,-2.935321360891185
13143,2461035.324923891,16.82182980635431,25.04634903156733,-2.934967124280221
